Subject,Model,Test MSE,Test RMSE,Test MAE,Test R2
1,Random Forest,0.19134021617286123,0.43742452625894357,0.31604101519598227,0.8062610768075809
1,XGBoost,0.1883155400461139,0.4339533846464547,0.3131444045066032,0.8093236713186711
2,Random Forest,0.29339203023935045,0.5416567457711114,0.40768691656398354,0.7026860232206614
2,XGBoost,0.2897744216155281,0.5383069956962552,0.4057729643059728,0.7063519905801101
3,Random Forest,0.3259650814658352,0.5709335175533445,0.39995064125804614,0.6742018475660206
3,XGBoost,0.32243036148831467,0.567829517979045,0.3980271304714646,0.6777347573883519
5,Random Forest,0.5172144442752379,0.7191762261610417,0.5348548031793726,0.4812681846745481
5,XGBoost,0.5132353773190849,0.7164044788519156,0.5319871810837786,0.485258925165872
6,Random Forest,0.5781639163325905,0.7603709070792953,0.540725933577039,0.42474431487710806
6,XGBoost,0.572507996943238,0.7566425820314622,0.5376311645937885,0.43037178433933265
7,Random Forest,0.44994462368551835,0.6707791169122056,0.48748029669886667,0.5516882646151002
7,XGBoost,0.4464877043907128,0.6681973543727278,0.48558003834577956,0.5551326384481412
8,Random Forest,0.19627725678823624,0.4430318913895886,0.2813363329278205,0.8130731092907038
8,XGBoost,0.19506624921250496,0.4416630494081489,0.27924260188919303,0.8142264262081145
11,Random Forest,0.16762958716609944,0.4094259239057774,0.2971828035289565,0.8340098965172827
11,XGBoost,0.1661460947866414,0.40761022409483477,0.29582463767004785,0.8354788797543413
